Job Title,Company,Skills,Location,Salary,Experience
AI Video Creation & Editing,"


                            GSEAMS                        
Actively hiring

","
Artificial intelligenceGenerative AI ToolsAI Video GenerationAI Image GenerationAI Voiceover ",Mumbai,"₹ 3,00,000 - 4,20,000                                    

                                    ₹ 3,00,000 - 4,20,000 /year",1 year(s)
Data Manager,"


                            Impresio Studio                        
Actively hiring

","
MS-OfficeProject ManagementComputer NetworkingData StructuresOperationsMS-ExcelResearch and Analytics+1 more ",Noida,"₹ 2,00,000 - 2,64,000                                    

                                    ₹ 2,00,000 - 2,64,000 /year",1 year(s)
AI And Robotics Educator,"


                            STEMpedia                        
Actively hiring

","
MS-OfficePythonRoboticsTeachingArduino ","Mangalore, Bangalore","₹ 2,84,000 - 4,20,000                                    

                                    ₹ 2,84,000 - 4,20,000 /year",1 year(s)
"Product Engineer (AI, Mobile & SaaS)","


                            199 Developments Private Limited                        
Actively hiring

","
XcodeNode.jsMobile Application DevelopmentSwiftArtificial intelligenceAmazon EC2Amazon RDS+1 more ",Ahmedabad,"₹ 3,00,000 - 8,00,000                                    

                                    ₹ 3,00,000 - 8,00,000 /year",No experience required
Artificial Intelligence (AI) Executive,"


                            Arkive                        
Actively hiring

","
Generative AI ToolsGeminiAI Video GenerationAI Image GenerationElevenlabs (GenAI)MidJourney (GenAI) ",Mumbai,"₹ 2,04,000 - 2,70,000                                    

                                    ₹ 2,04,000 - 2,70,000 /year",1 year(s)
Junior Search Engine Optimization (SEO) Executive,"


                            MyInscribe                        
Actively hiring

","
Google AnalyticsSearch Engine Optimization (SEO)OptimizationMozGoogle Search ConsoleScreaming Frog ",Lucknow,"₹ 2,00,000 - 2,16,000                                    

                                    ₹ 2,00,000 - 2,16,000 /year",1 year(s)
Punjabi-Speaking Online Data Analyst,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
English Proficiency (Spoken)English Proficiency (Written)Punjabi Proficiency (Spoken)Punjabi Proficiency (Written)Artificial intelligence ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",No experience required
Performance Marketing Specialist,"


                            Next Labs                        
Actively hiring

","
Google AnalyticsDigital MarketingGoogle AdWordsCritical thinkingDecision makingAnalytical ThinkingResearch and Analytics+2 more ",Mumbai,"₹ 3,00,000 - 3,60,000                                    

                                    ₹ 3,00,000 - 3,60,000 /year",1 year(s)
App Store Optimization (ASO) Specialist,"


                            Next Labs                        
Actively hiring

","
Communication SkillsGoogle AnalyticsDigital MarketingSearch Engine Optimization (SEO)Client InteractionClient RelationshipEnglish Proficiency (Spoken)+3 more ",Mumbai,"₹ 3,00,000 - 3,20,000                                    

                                    ₹ 3,00,000 - 3,20,000 /year",1 year(s)
Excel Data Analyst,"


                            Codezin Technology Solutions                        
Actively hiring

","
Advanced ExcelEnglish Proficiency (Spoken) ",Kolkata,"₹ 2,00,000 - 3,20,000                                    

                                    ₹ 2,00,000 - 3,20,000 /year",No experience required
Online Data Analyst - Urdu Speakers,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
Urdu Proficiency(Spoken)Urdu Proficiency(Written) ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",No experience required
Malayalam Speaker - Online Data Analyst,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
Data Analytics ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",No experience required
Marathi Speaker - Online Data Analyst,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
Data Analytics ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",No experience required
Online Data Analyst - Punjabi Speaker,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
English Proficiency (Spoken)English Proficiency (Written)Punjabi Proficiency (Spoken)Punjabi Proficiency (Written)Artificial intelligence ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",No experience required
Gujarati Speaker - Online Data Analyst,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
Data AnalyticsData Analysis ",Work from home,"₹ 4,50,000 - 4,60,000                                    

                                    ₹ 4,50,000 - 4,60,000 /year",1 year(s)
Quality Assurance Rater - English Speaker,"


                            TELUS International AI Inc. (Las Vegas, United States)                        
Actively hiring

","
Quality Assurance/Quality Control (QA/QC) ",Work from home,"$ 7,000 - 7,680                                    

                                    $ 7,000 - 7,680 /year",1 year(s)
Senior Data Engineer,"


                            Hire Right Search Partners                        

","
",Noida,"₹ 25,00,000 - 35,00,000                                    

                                    ₹ 25,00,000 - 35,00,000 /year",4 year(s)
Data/Analytics Lead,"


                            Hire Right Search Partners                        

","
",Noida,"₹ 25,00,000 - 32,00,000                                    

                                    ₹ 25,00,000 - 32,00,000 /year",6 year(s)
